"","X","cluster"
"299","2004-05-01_3",3
"307","2004-06-01_3",3
"315","2004-07-01_3",3
"322","2004-08-01_2",3
"330","2004-09-01_2",3
"339","2004-10-01_3",3
"347","2004-11-01_3",3
"355","2004-12-01_3",3
"363","2005-01-01_3",3
"371","2005-02-01_3",3
"378","2005-03-01_2",3
"385","2005-04-01_2",3
"392","2005-05-01_2",3
"399","2005-06-01_2",3
"405","2005-07-01_1",3
"412","2005-08-01_1",3
"419","2005-09-01_1",3
"425","2005-10-01_1",3
"431","2005-11-01_1",3
"437","2005-12-01_1",3
"443","2006-01-01_1",3
"449","2006-02-01_1",3
"455","2006-03-01_1",3
"461","2006-04-01_1",3
"467","2006-05-01_1",3
"473","2006-06-01_1",3
"482","2006-07-01_4",3
"489","2006-08-01_4",3
"495","2006-09-01_4",3
"501","2006-10-01_4",3
"507","2006-11-01_4",3
"512","2006-12-01_3",3
"519","2007-01-01_4",3
"524","2007-02-01_3",3
"530","2007-03-01_3",3
"536","2007-04-01_3",3
"543","2007-05-01_3",3
"549","2007-06-01_3",3
"556","2007-07-01_3",3
"562","2007-08-01_3",3
"569","2007-09-01_3",3
"575","2007-10-01_3",3
"581","2007-11-01_3",3
"588","2007-12-01_3",3
"594","2008-01-01_3",3
"600","2008-02-01_3",3
"606","2008-03-01_3",3
"609","2008-04-01_0",3
"615","2008-05-01_0",3
"622","2008-06-01_0",3
"628","2008-07-01_0",3
"634","2008-08-01_0",3
"640","2008-09-01_0",3
"646","2008-10-01_0",3
"652","2008-11-01_0",3
"658","2008-12-01_0",3
"664","2009-01-01_0",3
"670","2009-02-01_0",3
"675","2009-03-01_0",3
"681","2009-04-01_0",3
"687","2009-05-01_0",3
"693","2009-06-01_0",3
"699","2009-07-01_0",3
"705","2009-08-01_0",3
"711","2009-09-01_0",3
"716","2009-10-01_0",3
"722","2009-11-01_0",3
"728","2009-12-01_0",3
"734","2010-01-01_0",3
"740","2010-02-01_0",3
"746","2010-03-01_0",3
"751","2010-04-01_0",3
"756","2010-05-01_0",3
"761","2010-06-01_0",3
"766","2010-07-01_0",3
"771","2010-08-01_0",3
"776","2010-09-01_0",3
"781","2010-10-01_0",3
"786","2010-11-01_0",3
"791","2010-12-01_0",3
"796","2011-01-01_0",3
"801","2011-02-01_0",3
"806","2011-03-01_0",3
"811","2011-04-01_0",3
"816","2011-05-01_0",3
"821","2011-06-01_0",3
"826","2011-07-01_0",3
"831","2011-08-01_0",3
"836","2011-09-01_0",3
"843","2011-10-01_0",3
"850","2011-11-01_0",3
"857","2011-12-01_0",3
"863","2012-01-01_0",3
"872","2012-02-01_2",3
"879","2012-03-01_2",3
"886","2012-04-01_2",3
"893","2012-05-01_2",3
"900","2012-06-01_2",3
"906","2012-07-01_2",3
"912","2012-08-01_2",3
"918","2012-09-01_2",3
"924","2012-10-01_2",3
"930","2012-11-01_2",3
"936","2012-12-01_2",3
"941","2013-01-01_2",3
"946","2013-02-01_2",3
"951","2013-03-01_2",3
"956","2013-04-01_2",3
"961","2013-05-01_2",3
"966","2013-06-01_2",3
"971","2013-07-01_2",3
"976","2013-08-01_2",3
"981","2013-09-01_2",3
"986","2013-10-01_2",3
"991","2013-11-01_2",3
"996","2013-12-01_2",3
"1001","2014-01-01_2",3
"1006","2014-02-01_2",3
"1011","2014-03-01_2",3
"1016","2014-04-01_2",3
"1022","2014-05-01_3",3
"1026","2014-06-01_2",3
"1031","2014-07-01_2",3
"1036","2014-08-01_2",3
"1041","2014-09-01_2",3
"1046","2014-10-01_2",3
"1051","2014-11-01_2",3
"1056","2014-12-01_2",3
"1061","2015-01-01_2",3
"1066","2015-02-01_2",3
"1071","2015-03-01_2",3
"1076","2015-04-01_2",3
"4","2000-12-01_3",4
"6","2000-12-01_5",4
"7","2000-12-01_6",4
"11","2001-01-01_3",4
"13","2001-01-01_5",4
"14","2001-01-01_6",4
"16","2001-02-01_1",4
"19","2001-02-01_4",4
"21","2001-02-01_6",4
"23","2001-03-01_1",4
"26","2001-03-01_4",4
"28","2001-03-01_6",4
"30","2001-04-01_1",4
"33","2001-04-01_4",4
"35","2001-04-01_6",4
"37","2001-05-01_1",4
"40","2001-05-01_4",4
"42","2001-05-01_6",4
"44","2001-06-01_1",4
"47","2001-06-01_4",4
"49","2001-06-01_6",4
"50","2001-07-01_0",4
"51","2001-07-01_1",4
"54","2001-07-01_4",4
"56","2001-07-01_6",4
"57","2001-08-01_0",4
"58","2001-08-01_1",4
"61","2001-08-01_4",4
"63","2001-08-01_6",4
"65","2001-09-01_1",4
"68","2001-09-01_4",4
"70","2001-09-01_6",4
"72","2001-10-01_1",4
"75","2001-10-01_4",4
"77","2001-10-01_6",4
"79","2001-11-01_1",4
"83","2001-11-01_5",4
"85","2001-12-01_1",4
"88","2001-12-01_4",4
"90","2001-12-01_6",4
"92","2002-01-01_1",4
"95","2002-01-01_4",4
"97","2002-01-01_6",4
"98","2002-02-01_0",4
"99","2002-02-01_1",4
"102","2002-02-01_4",4
"104","2002-02-01_6",4
"105","2002-02-01_7",4
"107","2002-03-01_1",4
"110","2002-03-01_4",4
"112","2002-03-01_6",4
"114","2002-04-01_1",4
"118","2002-04-01_5",4
"120","2002-05-01_1",4
"124","2002-05-01_5",4
"128","2002-06-01_3",4
"130","2002-06-01_5",4
"135","2002-07-01_4",4
"136","2002-07-01_5",4
"137","2002-07-01_6",4
"142","2002-08-01_4",4
"143","2002-08-01_5",4
"148","2002-09-01_4",4
"149","2002-09-01_5",4
"150","2002-09-01_6",4
"154","2002-10-01_3",4
"156","2002-10-01_5",4
"157","2002-10-01_6",4
"161","2002-11-01_3",4
"163","2002-11-01_5",4
"164","2002-11-01_6",4
"168","2002-12-01_3",4
"170","2002-12-01_5",4
"171","2002-12-01_6",4
"175","2003-01-01_3",4
"177","2003-01-01_5",4
"178","2003-01-01_6",4
"179","2003-01-01_7",4
"183","2003-02-01_3",4
"184","2003-02-01_4",4
"186","2003-02-01_6",4
"190","2003-03-01_3",4
"191","2003-03-01_4",4
"192","2003-03-01_5",4
"194","2003-03-01_7",4
"198","2003-04-01_3",4
"199","2003-04-01_4",4
"201","2003-04-01_6",4
"202","2003-04-01_7",4
"206","2003-05-01_3",4
"207","2003-05-01_4",4
"209","2003-05-01_6",4
"210","2003-05-01_7",4
"214","2003-06-01_3",4
"216","2003-06-01_5",4
"217","2003-06-01_6",4
"218","2003-06-01_7",4
"222","2003-07-01_3",4
"224","2003-07-01_5",4
"225","2003-07-01_6",4
"226","2003-07-01_7",4
"231","2003-08-01_4",4
"232","2003-08-01_5",4
"233","2003-08-01_6",4
"234","2003-08-01_7",4
"238","2003-09-01_3",4
"239","2003-09-01_4",4
"240","2003-09-01_5",4
"241","2003-09-01_6",4
"246","2003-10-01_3",4
"247","2003-10-01_4",4
"248","2003-10-01_5",4
"249","2003-10-01_6",4
"254","2003-11-01_3",4
"255","2003-11-01_4",4
"256","2003-11-01_5",4
"257","2003-11-01_6",4
"262","2003-12-01_3",4
"263","2003-12-01_4",4
"264","2003-12-01_5",4
"269","2004-01-01_3",4
"270","2004-01-01_4",4
"272","2004-01-01_6",4
"276","2004-02-01_3",4
"277","2004-02-01_4",4
"278","2004-02-01_5",4
"281","2004-03-01_1",4
"283","2004-03-01_3",4
"285","2004-03-01_5",4
"287","2004-03-01_7",4
"289","2004-04-01_1",4
"292","2004-04-01_4",4
"294","2004-04-01_6",4
"295","2004-04-01_7",4
"300","2004-05-01_4",4
"302","2004-05-01_6",4
"303","2004-05-01_7",4
"305","2004-06-01_1",4
"308","2004-06-01_4",4
"310","2004-06-01_6",4
"311","2004-06-01_7",4
"313","2004-07-01_1",4
"316","2004-07-01_4",4
"317","2004-07-01_5",4
"318","2004-07-01_6",4
"324","2004-08-01_4",4
"325","2004-08-01_5",4
"326","2004-08-01_6",4
"332","2004-09-01_4",4
"333","2004-09-01_5",4
"334","2004-09-01_6",4
"340","2004-10-01_4",4
"341","2004-10-01_5",4
"342","2004-10-01_6",4
"345","2004-11-01_1",4
"348","2004-11-01_4",4
"349","2004-11-01_5",4
"351","2004-11-01_7",4
"353","2004-12-01_1",4
"356","2004-12-01_4",4
"357","2004-12-01_5",4
"359","2004-12-01_7",4
"361","2005-01-01_1",4
"364","2005-01-01_4",4
"365","2005-01-01_5",4
"367","2005-01-01_7",4
"369","2005-02-01_1",4
"372","2005-02-01_4",4
"373","2005-02-01_5",4
"375","2005-02-01_7",4
"379","2005-03-01_3",4
"381","2005-03-01_5",4
"382","2005-03-01_6",4
"386","2005-04-01_3",4
"388","2005-04-01_5",4
"389","2005-04-01_6",4
"393","2005-05-01_3",4
"394","2005-05-01_4",4
"395","2005-05-01_5",4
"400","2005-06-01_3",4
"402","2005-06-01_5",4
"403","2005-06-01_6",4
"406","2005-07-01_2",4
"409","2005-07-01_5",4
"410","2005-07-01_6",4
"413","2005-08-01_2",4
"415","2005-08-01_4",4
"416","2005-08-01_5",4
"420","2005-09-01_2",4
"423","2005-09-01_5",4
"426","2005-10-01_2",4
"429","2005-10-01_5",4
"432","2005-11-01_2",4
"435","2005-11-01_5",4
"438","2005-12-01_2",4
"441","2005-12-01_5",4
"444","2006-01-01_2",4
"447","2006-01-01_5",4
"450","2006-02-01_2",4
"453","2006-02-01_5",4
"456","2006-03-01_2",4
"459","2006-03-01_5",4
"462","2006-04-01_2",4
"465","2006-04-01_5",4
"468","2006-05-01_2",4
"471","2006-05-01_5",4
"474","2006-06-01_2",4
"477","2006-06-01_5",4
"480","2006-07-01_2",4
"483","2006-07-01_5",4
"484","2006-07-01_6",4
"487","2006-08-01_2",4
"490","2006-08-01_5",4
"493","2006-09-01_2",4
"496","2006-09-01_5",4
"499","2006-10-01_2",4
"502","2006-10-01_5",4
"505","2006-11-01_2",4
"508","2006-11-01_5",4
"511","2006-12-01_2",4
"514","2006-12-01_5",4
"517","2007-01-01_2",4
"520","2007-01-01_5",4
"523","2007-02-01_2",4
"526","2007-02-01_5",4
"529","2007-03-01_2",4
"532","2007-03-01_5",4
"535","2007-04-01_2",4
"538","2007-04-01_5",4
"539","2007-04-01_6",4
"542","2007-05-01_2",4
"545","2007-05-01_5",4
"548","2007-06-01_2",4
"551","2007-06-01_5",4
"552","2007-06-01_6",4
"555","2007-07-01_2",4
"558","2007-07-01_5",4
"561","2007-08-01_2",4
"564","2007-08-01_5",4
"565","2007-08-01_6",4
"568","2007-09-01_2",4
"571","2007-09-01_5",4
"574","2007-10-01_2",4
"577","2007-10-01_5",4
"580","2007-11-01_2",4
"583","2007-11-01_5",4
"584","2007-11-01_6",4
"587","2007-12-01_2",4
"590","2007-12-01_5",4
"593","2008-01-01_2",4
"596","2008-01-01_5",4
"599","2008-02-01_2",4
"602","2008-02-01_5",4
"604","2008-03-01_1",4
"608","2008-03-01_5",4
"611","2008-04-01_2",4
"614","2008-04-01_5",4
"617","2008-05-01_2",4
"620","2008-05-01_5",4
"621","2008-05-01_6",4
"625","2008-06-01_3",4
"627","2008-06-01_5",4
"630","2008-07-01_2",4
"633","2008-07-01_5",4
"636","2008-08-01_2",4
"639","2008-08-01_5",4
"642","2008-09-01_2",4
"645","2008-09-01_5",4
"648","2008-10-01_2",4
"651","2008-10-01_5",4
"654","2008-11-01_2",4
"657","2008-11-01_5",4
"660","2008-12-01_2",4
"663","2008-12-01_5",4
"666","2009-01-01_2",4
"669","2009-01-01_5",4
"672","2009-02-01_2",4
"677","2009-03-01_2",4
"680","2009-03-01_5",4
"683","2009-04-01_2",4
"686","2009-04-01_5",4
"689","2009-05-01_2",4
"692","2009-05-01_5",4
"695","2009-06-01_2",4
"698","2009-06-01_5",4
"701","2009-07-01_2",4
"704","2009-07-01_5",4
"707","2009-08-01_2",4
"710","2009-08-01_5",4
