"","E_wti_fut_tr","E_sptr","E_ustreas","E_us6mo_tr","E_energy","r_wti_fut_tr","r_sptr","r_ustreas","r_us6mo_tr","r_energy"
"2009-11-20",-0.0395140459141782,-0.0303069096331868,0.053605425373548,0,0.0819346398780334,-0.0733760824790735,0.312049111963849,0.044229438701243,0,0.401717930286378
"2009-11-23",-0.0557452373859559,-0.03096912984119,0.0531251171159283,0,0.0875097388280455,-0.100247248727177,0.310377772475568,0.0463124502652283,0,0.410636596515755
"2009-11-24",-0.0581443417771626,-0.0335385148358942,0.0546317660064947,0,0.0813327293842546,-0.0626283181271752,0.312457053220275,0.0446217175378425,0,0.420971664880779
"2009-11-25",-0.0802303143388457,-0.0393724455824175,0.0541098933073019,0,0.0666961784435542,-0.140672643397569,0.276291767855122,0.0393964488035103,0,0.362999764120703
"2009-11-30",-0.0581397021908207,-0.0310496358926364,0.0545792767082131,0,0.0701325883490831,-0.0503210580294853,0.332321809745302,0.0375966537397507,0,0.394056978894021
"2009-12-01",-0.0623714213615761,-0.0309991527391444,0.053616146956337,0,0.0712425820405612,0.0331753750831166,0.394475173170433,0.0347489241828185,0,0.486962406900047
"2009-12-02",-0.0557509909636851,-0.0294205227657833,0.0524052822241893,0,0.0726641692157193,0.0061610655840969,0.365760918479913,0.0357000159187618,0,0.447304000826452
"2009-12-03",-0.0427084928791056,-0.0310310573513832,0.0506438479360078,0,0.0783836283496996,-0.0181653361376036,0.369945852490203,0.0302005285137757,0,0.426183096161343
"2009-12-04",-0.0544995261991997,-0.0383427130599527,0.0479949622365914,0,0.072444264365278,-0.066976456235307,0.306136929813748,0.0277391746745453,0,0.35410931473529
"2009-12-07",-0.06745583160633,-0.0358689666000768,0.0499760657713017,0,0.0667258955875855,-0.0626332993921309,0.345271068161386,0.026719468389958,0,0.364334071362049
"2009-12-08",-0.0725149433559075,-0.0364401229800548,0.0531471535915696,0,0.0620673271569807,-0.0435754518510407,0.360942451749156,0.0268674435534123,0,0.364520718846417
"2009-12-09",-0.0786581446087523,-0.0363676439122822,0.0527805302950252,0,0.0589034704767512,-0.0576066253380532,0.354712710132641,0.0200584197955119,0,0.333397187315048
"2009-12-10",-0.0800237338128231,-0.0340722055475368,0.0511038346151795,0,0.0600031105407041,-0.0481800477875685,0.421729516229794,0.0111633999835467,0,0.388259293349487
"2009-12-11",-0.0869545273215917,-0.0361841244501975,0.051268772950277,0,0.0528127958351182,0.0323692640375169,0.492679889031681,-0.00169674278267429,0,0.490637614825293
"2009-12-14",-0.0947659169336463,-0.0398420705440918,0.0509533041745108,0,0.0446498592068423,0.0208108583208511,0.436219188104511,-0.000912602321470946,0,0.429938493184401
"2009-12-15",-0.0823646868651158,-0.0408194665459448,0.0495253919435229,0,0.0454133803230719,-0.0591676105384487,0.36593092989669,0.00375336602975396,0,0.340203012779595
"2009-12-16",-0.0447237238465389,-0.039157609758794,0.0473562725163301,0,0.0489966075432356,0.0325320496080383,0.360381724992639,-0.00455552297709971,0,0.332674709164137
"2009-12-17",-0.0574252085789743,-0.0448069465366329,0.0499873912077112,0,0.0375857700346712,-0.0437771024559964,0.312904753670291,-0.00214169982782519,0,0.280337173658782
"2009-12-18",-0.0350152520058254,-0.0355231628372283,0.047973390548145,0,0.0476767838120349,0.0554292976986824,0.407983663926818,-0.0163415379738293,0,0.376952749099114
"2009-12-21",-0.0376887173151615,-0.0384240028996542,0.0467908393488175,0,0.0488998025362506,0.0931135511003384,0.378494083833834,-0.0235025583115058,0,0.363068307085758
"2009-12-22",-0.034053262096311,-0.0353244007782596,0.0459830603145902,0,0.0478698757875115,0.105963380710354,0.355708688863684,-0.027695537836631,0,0.372279970969208
"2009-12-23",-0.0324248639772533,-0.0354877803229394,0.0447884693967806,0,0.0473570883483912,0.203164136810439,0.387495032242732,-0.0331971478158251,0,0.424818221795876
"2009-12-24",-0.0267880647769566,-0.0260768964589116,0.0410947068249138,0,0.0453363149394294,0.286658871216875,0.356231815763075,-0.0309238311555798,0,0.451481457296745
"2009-12-29",-0.0367406124680878,-0.0289021721176726,0.041164174626241,0,0.0361112290948536,0.215031663923921,0.316438181781073,-0.0273108806223779,0,0.369601311856479
"2009-12-30",-0.0084028371152703,-0.0225225834360136,0.0405454311198229,0,0.0404136031310489,0.257397655946226,0.339814360914999,-0.0303173493975715,0,0.361063171018656
"2009-12-31",-0.0130117618135149,-0.027658227690203,0.0380733568355168,0,0.0358696422617501,0.226411857009378,0.317775554461814,-0.0321801765259498,0,0.324539007875332
"2010-01-05",-0.0281308697790162,-0.0205700983241713,0.0388129475771879,0,0.0377923167537447,0.125298789874287,0.349158639817017,-0.0309217160869658,0,0.317861270583928
"2010-01-06",-0.0145449264712898,-0.0178788633827223,0.0385661910612385,0,0.0404139024492485,0.176378216815657,0.343101062397484,-0.0345779837943967,0,0.339732829568684
"2010-01-07",-0.0185749082156643,-0.0139258167397374,0.0406844256956957,0,0.0359561225152988,0.203723317653686,0.359804581575032,-0.0383073850733597,0,0.326521258284108
"2010-01-08",-0.0242823850433466,-0.0205866677196617,0.0403248401517933,0,0.031030600425981,0.221032724550049,0.311323578735054,-0.0451938091556703,0,0.303619661531133
"2010-01-11",-0.0138068049338051,-0.0191166253704574,0.0385484020887214,0,0.033014130207274,0.262878041400356,0.322612137270132,-0.0510765722958925,0,0.306774720720323
"2010-01-12",-0.0288441695315335,-0.023678789765362,0.0400665519968396,0,0.0254783752833072,0.307335236112071,0.334359290822225,-0.0524517116133393,0,0.335645433642859
"2010-01-13",-0.0384160222493264,-0.0222363251053627,0.0391344998207005,0,0.0202173648366377,0.276780951681909,0.339825840540285,-0.0525249151011268,0,0.360647977617553
"2010-01-14",-0.0311259481368143,-0.0213465819876058,0.0395018518135258,0,0.021492858711207,0.332363081090985,0.360483100204207,-0.0481984839183462,0,0.388039848604888
"2010-01-15",-0.0362131773942763,-0.0252779911201391,0.0407350586470139,0,0.0187374323291605,0.336764432024258,0.359223150557148,-0.0446798772215807,0,0.381384455421145
"2010-01-20",-0.0425998528193643,-0.0298852041971558,0.0407625347281878,0,0.0134780201282373,0.409977486791113,0.342523491672646,-0.0409531662934984,0,0.36374956508455
"2010-01-21",-0.0627970388743706,-0.0364084874190038,0.0425409563553776,0,0.00304992914340469,0.327366461998932,0.327149833260438,-0.0401565124427726,0,0.322595300716423
"2010-01-22",-0.0610650047895516,-0.0426056337762278,0.0431610442247109,0,0.000524824941787178,0.331865839328361,0.280405954477163,-0.0402054810793849,0,0.287081615683771
"2010-01-25",-0.0375953159233484,-0.0400700755048686,0.0406046587697248,0,0.00262892248971452,0.198824348085634,0.270843661074337,-0.0339643462489194,0,0.282480264948618
"2010-01-26",-0.0402230991202953,-0.041361068923167,0.0403669789292013,0,0.00144594097633346,0.138220388094584,0.271297650263951,-0.0305959559758994,0,0.26263418622389
"2010-01-27",-0.0487188909800366,-0.0418736469147856,0.0401576228209142,0,-0.00241007233803649,0.129012064375412,0.268411787535995,-0.0303452603681401,0,0.247360754938664
"2010-01-28",-0.0414778567109302,-0.0440231751181649,0.0397745597844353,0,-0.00343649143838852,0.251085867075382,0.28613487148254,-0.0310444345222488,0,0.266819592850096
"2010-01-29",-0.0458815882765521,-0.0440001075225856,0.0406257126700401,0,-0.00599816621481343,0.262720991600523,0.272875581978346,-0.0303297464290314,0,0.243964358201989
"2010-02-01",-0.0405214518117548,-0.0411342973920836,0.039503266674786,0,-0.0032909884608836,0.302228374613073,0.308441608504016,-0.0338530993913115,0,0.290873680017432
"2010-02-02",-0.0302558662847957,-0.0376396321284347,0.0400854165862023,0,-0.00199494348885391,0.407684661075327,0.34399126771486,-0.0377736612610136,0,0.336486226885623
"2010-02-03",-0.033458923386901,-0.0402261775257138,0.0378932023256737,0,-0.00407382700291117,0.386308873023214,0.337029748718315,-0.0403341457879747,0,0.323709028288535
"2010-02-04",-0.0545991676036345,-0.050239677863175,0.0389148448649525,0,-0.0155839638531158,0.34943046613969,0.339288307822694,-0.040327804482255,0,0.332382569337715
"2010-02-05",-0.0586297412352417,-0.0516629547476489,0.0402035214629494,0,-0.0184463589634435,0.33748048811297,0.340827084334445,-0.0370648676359797,0,0.321012285457119
"2010-02-08",-0.0553200949814817,-0.0543552247804878,0.0394042408043167,0,-0.0199189838958694,0.369792147297875,0.324736157582249,-0.0350059380654626,0,0.298502864894481
"2010-02-09",-0.0341148059710228,-0.0424808731058595,0.0381231386157734,0,-0.0104935056142685,0.329537052488581,0.294091323261653,-0.0275490526608722,0,0.282457954673316
"2010-02-10",-0.0320177150507975,-0.0427412794207364,0.0370533699952735,0,-0.0101175697560599,0.336539840836982,0.307261571631193,-0.0276408441226643,0,0.296519111750354
"2010-02-11",-0.0271233656148328,-0.03954329774716,0.0381985097547203,0,-0.00631210686776633,0.283331188308801,0.311699624422234,-0.0263067210443216,0,0.295969306337657
"2010-02-12",-0.0287507843609334,-0.0415309082514134,0.0382463749107989,0,-0.00938197554921577,0.283140235623533,0.30361433024802,-0.0230458942588342,0,0.259632943646162
"2010-02-17",-0.0170604141672492,-0.0409833498275878,0.0359924688801795,0,-0.0078694501408489,0.377897869074942,0.297109228493815,-0.0328812302092405,0,0.253835976471423
"2010-02-18",-0.00832291291400536,-0.0343367070352896,0.0362608767929618,0,-0.00409928809705722,0.385693235369831,0.270093516521053,-0.0282380707619012,0,0.23693927083872
"2010-02-19",-0.0128507866361874,-0.0384415251172633,0.0363707908114909,0,-0.00877829683792721,0.410831284609506,0.305489229524103,-0.0215098377017741,0,0.262417160367257
"2010-02-22",-0.0168746386391777,-0.0399190355043585,0.0363323275959976,0,-0.00947893054977869,0.408174767722087,0.327253377509425,-0.0203240733346658,0,0.274215673356656
"2010-02-23",-0.0174352311747091,-0.0422143205953225,0.0375968701348516,0,-0.00997098124386834,0.428506341254741,0.315687338253345,-0.0220076115812461,0,0.271912399910126
"2010-02-24",-0.0126887694117796,-0.0385350309200954,0.0375118997106286,0,-0.00818080079831638,0.425497050237362,0.309759819479844,-0.0160608703967491,0,0.25781626139964
"2010-02-25",-0.0211256415451458,-0.0394415724156338,0.0387242424348625,0,-0.0112548036883158,0.413907148398718,0.314688246792559,-0.0106092567258034,0,0.231548006585844
"2010-02-26",-0.0103279582560824,-0.0371112281557438,0.0388964186596729,0,-0.00724775684874582,0.411891310141249,0.299705921607141,-0.00933579295704989,0,0.219646693431287
"2010-03-01",-0.0139626556209695,-0.0323499742710674,0.0401282428829396,0,-0.00399632850965026,0.424137381470933,0.282590254599481,-0.00672111102041517,0,0.209638238803318
"2010-03-02",-0.00623678110942215,-0.0316787132490619,0.0409965135099907,0,-0.00265000383068271,0.449877643347852,0.283407036770363,-0.00534757861686985,0,0.209637268065942
"2010-03-03",0.00336960322913,-0.0242620007816143,0.0404107067757187,0,0.00429983514443421,0.51325379517993,0.333094639367083,-0.0147661853858146,0,0.258794517391266
"2010-03-04",-0.00153820514101386,-0.0229180326457551,0.0408801536409368,0,0.0038703329158399,0.539454867130173,0.328476219417697,-0.0169868140700976,0,0.267527855725016
"2010-03-05",0.0167507140869789,-0.0186548399595929,0.0387308083768939,0,0.0135469010501556,0.570892935236088,0.340556726425146,-0.022453876112812,0,0.286344919041332
"2010-03-08",0.0132829413807263,-0.0185750503430671,0.038470649764614,0,0.0148401088433821,0.580229977483897,0.350448523790382,-0.0146255482736967,0,0.279340306052305
"2010-03-09",0.0101963779205465,-0.0188807429577609,0.0384511584743951,0,0.0141125031621462,0.604583093746549,0.35297434445985,-0.0100676586225504,0,0.285875539013601
"2010-03-10",0.0158424292744608,-0.0180073879067456,0.0378360506117999,0,0.0180749832720439,0.537670971972475,0.369009575858084,-0.00492714911529823,0,0.284884839925031
"2010-03-11",0.0246929815280509,-0.0159772023073113,0.0381428865452149,0,0.0216064842017371,0.54146111171013,0.384600450008236,-0.00966165515948014,0,0.315690193662099
"2010-03-12",0.0328912965466336,-0.0154734910807737,0.0391130581666969,0,0.0229885567002212,0.570370947484901,0.419074402032322,-0.00930562283813963,0,0.345040479721415
"2010-03-15",0.0259353982120088,-0.0163915503526142,0.0399719465728444,0,0.0178302065503789,0.512932077008738,0.379443933487237,-0.00796767487839656,0,0.305094568922408
"2010-03-16",0.0323448423321858,-0.0146793796898071,0.0412772142298692,0,0.0194064293473721,0.472981033074308,0.397662378681333,0.00113310316316706,0,0.319170074337156
"2010-03-17",0.0415113863863909,-0.010061997761296,0.0408933855321111,0,0.0244794266567361,0.424113966900788,0.41907337383127,0.0023669458046166,0,0.323237849622467
"2010-03-18",0.0331627791530684,-0.0130031391145624,0.0408591080466024,0,0.0183979396641461,0.426238660488264,0.442308144461595,0.00192944721361232,0,0.337509380560005
"2010-03-19",0.032209047627181,-0.0134883311800173,0.0404575751621073,0,0.0168684639955077,0.510201689779659,0.483832159916143,-0.00548778001756789,0,0.395046648586142
"2010-03-22",0.0260619933088238,-0.0142282884500188,0.0417414115044716,0,0.0118295640604307,0.480633436587504,0.495362505953131,-0.00222686774384984,0,0.40344847002699
"2010-03-23",0.0208614346906892,-0.0157674311347774,0.0417970335447647,0,0.00942864628674842,0.394885651628571,0.478530628122208,0.00046808896744166,0,0.3594673117778
"2010-03-24",0.0288882634720271,-0.00902250475929516,0.0400298304235695,0,0.0166699152004702,0.418020808837096,0.515515783622194,-0.015711451944785,0,0.389456529697819
"2010-03-25",0.0222002276123857,-0.0101815091281242,0.0394665074836928,0,0.0150535842189927,0.373232653738106,0.512348584275273,-0.0174377323409969,0,0.368988241885266
"2010-03-26",0.0274913497798372,-0.0086109832032689,0.0403622254533602,0,0.0165114032871597,0.338180712967176,0.523009010280052,-0.012170136623212,0,0.359522749931834
"2010-03-29",0.0196082611928057,-0.00618644142310761,0.0399771966446983,0,0.0183290346082214,0.391611461021534,0.465144443694582,-0.00717313387431473,0,0.323824884270883
"2010-03-30",0.0144351731268693,-0.00904042654726116,0.0389343448426161,0,0.016968591143106,0.461748491103,0.462527519007115,-0.0102707319347878,0,0.333978290530628
"2010-03-31",0.0211805816919772,-0.00904819395966866,0.039857814510817,0,0.0176759616917377,0.384166778127225,0.418356621875497,-0.0100674428324125,0,0.319955124676723
"2010-04-01",0.016749272499298,-0.00951718775464519,0.0393640739850578,0,0.0195134498524749,0.417020867275989,0.418046483293008,-0.0116228071781023,0,0.335475989991269
"2010-04-06",0.0185420823714441,-0.00877510607043694,0.0393939494489887,0,0.0205091962811382,0.397860620282842,0.423233925819902,-0.00774623948167175,0,0.328702299734643
"2010-04-07",0.0164178575131072,-0.00912986082790219,0.0405023251292474,0,0.0189911617861706,0.345396608369284,0.385649554696644,-3.68868936279076e-05,0,0.296571555930745
"2010-04-08",0.0261460207982213,-0.0137474562739623,0.0340466610420974,0,0.0207697743894474,0.362476595964484,0.368174687774814,-0.0221422379121859,0,0.299276971367098
"2010-04-09",0.0114435193787952,-0.0130375933568189,0.0343116298210495,0,0.0172333713322586,0.292937705260087,0.387843581618131,-0.0194464736983813,0,0.276586746226115
"2010-04-12",0.0106106877850618,-0.0128608349261686,0.0358282825566695,0,0.0168031312462636,0.286649360051629,0.409376146609274,-0.0161678229387672,0,0.306092630404417
"2010-04-13",0.0177567263341606,-0.0116240823057151,0.0365245404715004,0,0.0183763739839958,0.250846856552322,0.339170591522568,-0.0131271616599753,0,0.239015034901857
"2010-04-14",0.0175924870535949,-0.0110957352225344,0.0362280816342702,0,0.0185350684733217,0.266983945956597,0.370727568989834,-0.0160340545423443,0,0.264850687721582
"2010-04-15",0.0193998855829801,-0.0102859130081301,0.0350199566783756,0,0.0194677190348099,0.289637119739495,0.361938978973317,-0.0102372434148755,0,0.261106458944625
"2010-04-16",0.0120938412760542,-0.0145074529579743,0.0356406030548965,0,0.0152143379320109,0.235914095744198,0.322491037029716,-0.00937870841130473,0,0.234885482688173
"2010-04-19",0.00268581644319884,-0.0167945899354714,0.0351337733753148,0,0.0122995543235905,0.253803738524252,0.347177118610814,-0.0105784489475467,0,0.259256721451073
"2010-04-20",0.000294866616853891,-0.0160067504013668,0.0354441016234686,0,0.0145516267178985,0.338249329892748,0.390013833555583,-0.0130925958970096,0,0.320190769987496
"2010-04-21",-0.00307602501624362,-0.017148478547427,0.0367372036800675,0,0.0120839372518216,0.310408277591007,0.375886080338528,-0.0125850508465626,0,0.306703791870886
"2010-04-22",-0.0010060230114535,-0.0169291046115636,0.03568880713219,0,0.0111018119570146,0.336226459944185,0.361457632374163,-0.0163204103147779,0,0.290466765703798
"2010-04-23",0.00255499315292553,-0.0150836324070978,0.0344780683689248,0,0.0133203772986164,0.265369057915931,0.339798138249961,-0.0137090170117843,0,0.259994194043549
"2010-04-26",0.000984768094227621,-0.0111607394997914,0.0323504914164189,0,0.0166314552131636,0.257045246455173,0.325769390450979,-0.00542007531057997,0,0.258133886948091
