"('2003-04-25', '2005-03-31')","('2005-04-01', '2007-11-30')","('2007-12-01', '2009-06-30')","('2009-07-01', '2012-02-29')","('2012-03-01', '2014-10-31')","('2014-11-01', '2017-06-30')","('2017-07-01', '2020-01-31')",win_max_consec,win_period,var_1,var_1_text,var_2,var_2_text
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,DOilVol,0,fGom,1
0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,2->4,sGom,1,fEnv,1
0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2->3,WIPI_8wk,0,PCAsent,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,HedgPres,0,rdsaRet,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,DOilVol,0,DSpot,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,2->2; 4->4; 6->6,BEME,0,fEpg,1
0.0,1.0,1.0,1.0,1.0,1.0,0.0,5,2->6,DProd,0,sEnv,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,2->2; 4->4,DProd,0,fEp,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,2->2; 4->4,artcount,1,fGom,1
0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2->3,sp500Ret,0,sGom,1
0.0,1.0,1.0,0.0,0.0,1.0,0.0,2,2->3,OpenInt,0,DFX,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,BEME,0,DProd,0
0.0,1.0,0.0,1.0,1.0,1.0,0.0,3,4->6,liquidity,0,DProd,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,2->2; 4->4,artcount,1,fEnv,1
0.0,1.0,1.0,0.0,0.0,1.0,0.0,2,2->3,sRpc,1,sEpg,1
0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2->3,DOilVol,0,sEpg,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,2->2; 4->4; 7->7,DProd,0,basis,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,2->2; 4->4; 6->6,OpenInt,0,fEpg,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,2->2; 5->5,rdsaRet,0,sEpg,1
0.0,1.0,1.0,0.0,1.0,1.0,0.0,2,2->3; 5->6,sp500Ret,0,sEnv,1
0.0,1.0,1.0,0.0,0.0,1.0,0.0,2,2->3,sRpc,1,sent,1
0.0,1.0,1.0,1.0,0.0,1.0,0.0,3,2->4,DInv,0,DFX,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,HedgPres,0,liquidity,0
0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,2->2; 5->5; 7->7,BEME,0,sp500Ret,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,sGom,1,sEpg,1
0.0,1.0,1.0,0.0,1.0,1.0,0.0,2,2->3; 5->6,sEpg,1,fBbl,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,2->2; 4->4; 6->6,fEp,1,artcount,1
0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2->3,vix_diff,0,DOilVol,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,BEME,0,sEnv,1
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,2->2; 7->7,BEME,0,entropy,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,2->2; 4->4; 6->6,fEpg,1,fCo,1
0.0,1.0,0.0,0.0,0.0,1.0,1.0,2,6->7,liquidity,0,sRpc,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2->2; 6->6,WIPI_8wk,0,DProd,0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,2,2->3,sp500Ret,0,fEnv,1
0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2->3,HedgPres,0,WIPI_8wk,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,PCAall,1,sGom,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,2->2; 4->4; 6->6,OpenInt,0,fEp,1
0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2->3,DOilVol,0,fEnv,1
0.0,1.0,1.0,0.0,0.0,1.0,1.0,2,2->3; 6->7,fEp,1,sEpg,1
0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2->3,HedgPres,0,PCAsent,1
0.0,1.0,0.0,0.0,1.0,1.0,1.0,3,5->7,BEME,0,sEpg,1
0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2->3,fGom,1,sEpg,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,2->2; 4->4; 7->7,PCAall,1,sEp,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,artcount,1,sEpg,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2->2; 6->6,fEpg,1,sBbl,1
0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2->3,OilVol,0,fEnv,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,liquidity,0,sGom,1
0.0,1.0,0.0,0.0,1.0,1.0,0.0,2,5->6,DFX,0,sp500Ret,0
