"('2003-04-25', '2005-03-31')","('2005-04-01', '2007-11-30')","('2007-12-01', '2009-06-30')","('2009-07-01', '2012-02-29')","('2012-03-01', '2014-10-31')","('2014-11-01', '2017-06-30')","('2017-07-01', '2020-01-31')",win_max_consec,win_period,var_1,var_1_text,var_2,var_2_text
0.0,0.0,1.0,0.0,0.0,1.0,1.0,2,6->7,fRpc,1,fEp,1
-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,3->3,RPsdf_growing,0,liquidity,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,3->3; 6->6,OpenInt,0,fEpg,1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,3->4,OpenInt,0,Mom,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,DolBeta,0,InflaBeta,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,OpenInt,0,fGom,1
0.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,basis,0,PCAall,1
0.0,0.0,1.0,1.0,1.0,1.0,0.0,4,3->6,sEnv,1,fRpc,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,WIPI_8wk,0,trend,0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,3->4,HedgPres,0,Mom,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,3->3; 5->5,fEpg,1,entropy,1
-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1,3->3; 6->6,RPsdf_rolling,0,PCAall,1
-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1,3->3; 6->6,RPsdf_rolling,0,fEpg,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,basis,0,fEpg,1
0.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,PCAall,1,sBbl,1
-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1,3->3; 6->6,RPsdf_rolling,0,entropy,1
